feature	PT1	PT2	PT3
LOC100130744	0	0	0
LOC100130849	0	0	0
LOC100130872	160	274	14
LOC100130880	0	0	0
LOC100130899	0	0	2
LOC100130950	0	0	0
LOC100130964	0	0	0
LOC100130987	0	52	2
LOC100130992	0	0	0
LOC100131047	0	0	4
LOC100131107	0	0	0
LOC100131257	0	0	8
LOC100131289	0	0	0
LOC100131303	0	0	0
LOC100131315	0	0	4
LOC100131347	0	0	4
LOC100131496	0	0	0
LOC100131532	0	0	6
LOC100131564	184	0	2
LOC100131626	0	0	0
LOC100131635	0	0	0
LOC100131655	148	98	938
LOC100132057	0	366	6
LOC100132062	0	0	0
LOC100132077	0	0	2
LOC100132078	0	0	0
LOC100132111	0	0	0
LOC100132146	0	0	4
LOC100132174	0	0	0
LOC100132215	2	0	0
LOC100132287	0	0	0
LOC100132304	0	0	0
LOC100132352	74	116	0
LOC100132356	4	2	0
LOC100132735	0	0	0
LOC100132741	0	0	0
LOC100132781	0	0	0
LOC100132831	0	0	0
LOC100133050	0	0	4
LOC100133077	0	0	2
LOC100133091	4	0	8
LOC100133267	0	0	0
LOC100133286	4	50	0
LOC100133315	0	0	0
LOC100133331	0	0	0
LOC100133461	0	0	0
LOC100133669	0	110	0
LOC100133920	0	0	0
LOC100133985	0	326	418
LOC100134317	2	0	2
LOC100134368	0	0	4
LOC100134391	0	0	0
LOC100134868	6	0	0
LOC100144595	0	0	2
LOC100147773	0	0	0
LOC100190940	0	0	8
LOC100190986	0	0	0
LOC100192426	0	0	0
LOC100233156	0	8	0
LOC100240728	0	0	0
LOC100240734	0	8	0
LOC100240735	102	0	116
LOC100268168	0	0	0
LOC100270746	0	0	0
LOC100270804	0	0	0
LOC100271832	0	0	0
LOC100272216	146	0	0
LOC100272217	0	0	0
LOC100286922	0	0	6
LOC100287010	0	0	0
LOC100287015	28	0	0
LOC100287036	38	0	0
LOC100287042	0	0	0
LOC100287072	2	0	0
LOC100287225	0	0	0
LOC100287592	0	0	0
LOC100287632	0	0	0
LOC100287704	0	0	0
LOC100287728	0	0	0
LOC100287792	0	0	0
LOC100287834	0	0	0
LOC100287846	0	0	0
LOC100287944	0	0	0
LOC100288069	0	0	388
LOC100288123	0	0	0
LOC100288152	0	0	0
LOC100288162	0	0	2
LOC100288181	0	0	8
LOC100288254	0	0	0
LOC100288570	0	0	0
LOC100288637	0	0	56
LOC100288748	0	0	0
LOC100288778	46	16	166
LOC100288798	16	20	0
LOC100288842	0	0	0
LOC100288846	0	0	0
LOC100288866	0	0	2
LOC100288911	0	0	0
LOC100288966	0	0	0
LOC100289230	2	2	8
LOC100289333	0	0	0
LOC100289361	0	0	0
LOC100289473	0	0	220
LOC100289495	0	0	0
LOC100289511	0	0	0
LOC100289561	0	0	0
LOC100289580	0	0	0
LOC100289650	0	0	0
LOC100289656	0	0	0
LOC100289673	0	0	0
LOC100294145	0	20	740
LOC100294362	0	0	2
LOC100303749	0	0	0
LOC100335030	2	0	6
LOC100379224	0	0	0
LOC100419583	88	54	0
LOC100420587	0	0	2
LOC100421746	0	0	0
LOC100422212	0	0	0
LOC100422556	0	0	2114
LOC100422737	0	0	0
LOC100499194	0	0	0
LOC100499484	0	0	0
LOC100499484-C9ORF174	0	0	0
LOC100499489	0	0	0
LOC100500773	0	0	4
LOC100505478	0	0	0
LOC100505515	0	0	6
LOC100505530	6	0	2
LOC100505549	0	0	0
LOC100505622	0	76	0
LOC100505625	0	0	6
LOC100505635	0	0	0
LOC100505658	12	26	0
LOC100505666	0	0	0
LOC100505715	0	306	0
LOC100505716	0	0	10
LOC100505736	0	2	0
LOC100505782	0	0	0
LOC100505795	0	0	0
LOC100505817	0	0	0
LOC100505841	0	0	0
LOC100505878	0	0	0
LOC100505887	0	0	0
LOC100505912	0	0	0
LOC100505915	0	0	2
LOC100505918	0	0	0
LOC100505920	0	0	0
LOC100505921	0	0	0
LOC100505938	0	0	0
LOC100505942	0	0	0
LOC100505978	0	0	0
LOC100505984	0	0	10
LOC100506022	0	0	0
LOC100506023	2224	2572	1472
LOC100506071	0	0	0
LOC100506076	0	0	0
LOC100506082	0	0	0
LOC100506083	0	0	0
LOC100506085	0	0	10
LOC100506100	148	72	0
LOC100506122	0	0	0
LOC100506123	0	0	0
LOC100506124	0	0	0
LOC100506125	0	0	0
LOC100506127	0	0	0
LOC100506136	6	0	0
LOC100506142	204	6	2
LOC100506159	0	0	0
LOC100506175	0	0	0
LOC100506178	0	0	2
LOC100506188	0	0	2
LOC100506207	0	22	0
LOC100506258	86	0	36
LOC100506271	0	0	0
LOC100506272	0	0	0
LOC100506274	0	0	2
LOC100506281	0	0	0
LOC100506302	16	2	0
LOC100506314	0	0	0
LOC100506321	0	0	0
LOC100506368	0	0	0
LOC100506371	0	0	0
LOC100506384	0	0	0
LOC100506388	0	0	0
LOC100506393	0	0	0
LOC100506403	0	0	0
LOC100506406	0	0	0
LOC100506422	0	0	2
LOC100506444	0	0	0
LOC100506457	0	0	0
LOC100506470	0	0	0
LOC100506472	2	114	6
LOC100506474	0	0	0
LOC100506476	0	0	0
LOC100506497	0	0	0
LOC100506526	0	0	0
LOC100506548	140	104	4
LOC100506551	0	0	2
LOC100506585	584	26	0
LOC100506603	2	0	10
LOC100506606	0	6	12
LOC100506639	0	110	6
LOC100506675	0	0	288
LOC100506679	0	0	62
LOC100506682	0	0	0
LOC100506688	0	0	0
LOC100506700	0	0	0
LOC100506725	0	0	0
LOC100506730	0	0	0
LOC100506746	0	0	0
LOC100506747	0	0	0
LOC100506790	0	0	0
LOC100506801	132	0	0
LOC100506804	0	42	0
LOC100506834	0	0	2
LOC100506844	0	268	0
LOC100506858	0	0	0
LOC100506860	6	18	10
LOC100506869	0	0	2
LOC100506895	0	0	6
LOC100506985	0	0	0
LOC100506990	22	0	10
LOC100507002	0	0	0
LOC100507006	258	204	70
LOC100507053	0	42	0
LOC100507065	0	0	12
LOC100507073	0	0	0
LOC100507091	0	0	2
LOC100507140	0	0	0
LOC100507144	0	0	2
LOC100507156	0	0	4
LOC100507175	0	0	2
LOC100507194	0	0	4
LOC100507195	0	0	0
LOC100507201	0	0	0
LOC100507205	0	0	0
LOC100507250	0	0	4
LOC100507283	0	0	6
LOC100507291	14	2	0
LOC100507334	0	0	0
LOC100507346	0	0	0
LOC100507351	0	0	4
LOC100507373	150	10	4
LOC100507377	0	0	0
LOC100507384	0	0	0
LOC100507387	0	12	0
LOC100507388	0	0	0
LOC100507389	0	0	10
LOC100507391	0	0	0
LOC100507406	0	0	0
LOC100507412	4	2	6
LOC100507424	0	0	2
LOC100507431	0	0	2
LOC100507437	0	0	6
LOC100507443	0	0	46
LOC100507462	0	0	0
LOC100507468	0	0	0
LOC100507472	0	0	6
LOC100507477	0	0	0
LOC100507487	4	0	2
LOC100507506	0	0	12
LOC100507534	0	0	0
LOC100507537	0	0	0
LOC100507547	0	0	0
LOC100507557	0	0	0
LOC100507564	0	0	2
LOC100507577	228	56	0
LOC100507600	0	0	0
LOC100507634	0	0	0
LOC100507639	0	0	6
LOC100507642	0	0	6
LOC100507661	0	0	0
LOC100508046	0	0	0
LOC100630923	0	0	2
LOC100631378	0	0	0
LOC100652758	0	0	4
LOC100652768	0	0	0
LOC100652931	0	0	0
LOC100652999	0	0	0
LOC100653233	0	0	0
LOC100996249	0	0	0
LOC100996251	0	0	8
LOC100996255	0	0	20
LOC100996263	0	0	0
LOC100996286	18	220	0
LOC100996291	0	0	0
LOC100996324	2	0	0
LOC100996325	0	0	0
LOC100996338	0	0	0
LOC100996342	0	0	0
LOC100996349	0	0	4
LOC100996351	144	0	0
LOC100996385	0	0	0
LOC100996437	0	0	0
LOC100996447	0	0	8
LOC100996455	2	0	0
LOC100996579	0	0	0
LOC100996583	0	0	0
LOC100996634	0	0	0
LOC100996635	0	0	0
LOC100996654	0	0	0
LOC100996671	0	0	0
LOC100996679	0	0	0
LOC100996693	0	0	4
LOC100996694	0	0	0
LOC101054525	0	0	2
LOC101059948	0	0	0
LOC101060019	0	0	0
LOC101060091	54	2	4
LOC101060321	0	0	0
LOC101060385	0	0	0
LOC101060389	0	0	0
LOC101060498	0	0	0
LOC101060524	0	0	0
LOC101060542	0	0	0
LOC101060553	0	0	0
LOC101241902	0	0	0
LOC101243545	176	242	54
LOC101409256	0	0	4
LOC101448202	0	0	0
LOC101559451	2	2	0
LOC101593348	0	0	2
LOC101805491	0	0	0
LOC101926889	0	0	2
LOC101926892	0	0	0
LOC101926897	0	0	0
LOC101926898	0	0	0
LOC101926905	0	0	0
LOC101926908	0	0	8
LOC101926911	0	0	0
LOC101926913	0	0	0
LOC101926915	0	0	4
LOC101926933	0	0	0
LOC101926935	0	0	16
LOC101926940	0	0	0
LOC101926941	0	0	2
LOC101926942	0	0	8
LOC101926943	0	0	0
LOC101926944	0	0	0
LOC101926955	0	0	0
LOC101926960	0	0	0
LOC101926962	0	0	0
LOC101926963	0	0	0
LOC101926964	0	0	0
LOC101926966	0	0	4
LOC101926975	0	0	0
LOC101927018	0	0	0
LOC101927020	0	0	0
LOC101927021	0	28	174
LOC101927023	0	0	0
LOC101927027	12	6	0
LOC101927040	0	0	0
LOC101927043	0	0	0
LOC101927045	0	0	6
LOC101927048	0	0	0
LOC101927051	0	0	0
LOC101927053	0	0	0
LOC101927055	0	0	0
LOC101927056	0	0	0
LOC101927058	0	0	2
LOC101927062	0	0	0
LOC101927066	0	0	0
LOC101927069	8	28	0
LOC101927070	0	0	0
LOC101927078	0	0	0
LOC101927079	0	0	2
LOC101927081	0	0	0
LOC101927082	0	0	0
LOC101927087	0	0	2
LOC101927100	0	0	0
LOC101927120	0	0	0
LOC101927123	0	0	2
LOC101927124	0	0	0
LOC101927131	0	218	0
LOC101927132	0	0	0
LOC101927136	0	0	0
LOC101927139	0	0	0
LOC101927142	0	0	0
LOC101927143	0	0	0
LOC101927151	0	0	4
LOC101927153	198	96	0
LOC101927156	0	42	0
LOC101927157	0	0	2
LOC101927159	0	0	0
LOC101927164	18	0	4
LOC101927166	0	0	2
LOC101927178	0	0	0
LOC101927179	0	0	0
LOC101927181	0	0	0
LOC101927188	0	0	0
LOC101927189	0	0	0
LOC101927190	0	0	6
LOC101927196	0	0	0
LOC101927204	0	0	0
LOC101927207	0	0	6
LOC101927211	0	0	0
LOC101927229	0	0	0
LOC101927230	0	0	0
LOC101927237	0	0	0
LOC101927239	0	0	0
LOC101927243	0	0	0
LOC101927244	0	0	0
LOC101927248	0	0	6
LOC101927257	0	0	0
LOC101927267	0	0	6
LOC101927269	0	0	2
LOC101927272	10	0	0
LOC101927274	0	0	0
LOC101927282	0	0	0
LOC101927284	0	0	0
LOC101927285	0	0	0
LOC101927286	0	0	0
LOC101927292	0	0	16
LOC101927296	0	0	0
LOC101927305	0	0	0
LOC101927310	0	0	0
LOC101927311	0	0	0
LOC101927314	0	0	0
LOC101927318	0	0	2
LOC101927322	0	0	0
LOC101927334	0	0	0
LOC101927342	0	0	4
LOC101927348	0	0	0
LOC101927354	0	0	0
LOC101927356	0	0	4
LOC101927358	0	0	4
LOC101927359	0	0	0
LOC101927365	0	0	0
LOC101927374	0	0	0
LOC101927378	0	0	0
LOC101927379	0	0	0
LOC101927391	0	0	0
LOC101927394	0	0	0
LOC101927406	0	0	0
LOC101927410	0	0	0
LOC101927411	0	0	6
LOC101927412	0	6	0
LOC101927415	0	0	0
LOC101927416	0	0	0
LOC101927418	0	0	0
LOC101927419	0	0	4
LOC101927421	0	0	0
LOC101927431	0	0	0
LOC101927434	0	0	0
LOC101927437	0	0	8
LOC101927438	0	0	0
LOC101927446	0	0	0
LOC101927450	4	0	0
LOC101927460	0	0	0
LOC101927464	0	0	0
LOC101927468	0	0	0
LOC101927472	0	0	0
LOC101927476	0	0	8
LOC101927478	0	0	0
LOC101927481	0	0	0
LOC101927482	22	0	0
LOC101927488	0	0	0
LOC101927495	0	0	0
LOC101927497	0	0	0
LOC101927501	0	0	2
LOC101927502	0	0	0
LOC101927523	0	0	0
LOC101927526	0	0	0
LOC101927539	0	0	0
LOC101927543	0	0	0
LOC101927549	0	0	0
LOC101927550	18	0	0
LOC101927557	0	0	0
LOC101927560	0	6	8
LOC101927571	0	0	0
LOC101927572	0	0	0
LOC101927575	0	0	4
LOC101927577	0	0	0
LOC101927580	0	0	4
LOC101927583	0	0	0
LOC101927587	0	0	4
LOC101927588	0	0	0
LOC101927592	0	0	0
LOC101927604	0	0	0
LOC101927606	0	0	4
LOC101927616	0	0	0
LOC101927619	0	0	0
LOC101927620	0	0	0
LOC101927623	0	0	2
LOC101927630	0	0	0
LOC101927636	0	0	0
LOC101927637	0	0	0
LOC101927640	0	0	0
LOC101927641	0	0	0
LOC101927650	0	0	2
LOC101927651	0	0	0
LOC101927653	0	0	0
LOC101927657	0	0	0
LOC101927661	0	0	0
LOC101927666	0	0	2
LOC101927668	0	0	0
LOC101927683	0	0	2
LOC101927686	0	0	0
LOC101927691	0	0	0
LOC101927692	0	0	0
LOC101927694	0	0	2
LOC101927697	0	0	0
LOC101927701	0	0	0
LOC101927708	0	0	0
LOC101927709	4	0	4
LOC101927730	0	0	0
LOC101927735	0	2	0
LOC101927740	0	0	0
LOC101927746	0	0	0
LOC101927755	0	0	0
LOC101927762	0	0	0
LOC101927765	22	0	0
LOC101927766	0	0	0
LOC101927768	0	56	146
LOC101927769	0	0	2
LOC101927770	0	0	8
LOC101927780	0	0	2
LOC101927787	0	0	2
LOC101927795	0	0	0
LOC101927797	0	0	2
LOC101927798	0	0	0
LOC101927811	0	0	0
LOC101927814	0	0	0
LOC101927815	0	0	0
LOC101927817	0	0	0
LOC101927822	0	0	2
LOC101927827	0	0	0
LOC101927829	0	0	0
LOC101927830	0	0	0
LOC101927835	0	0	0
LOC101927839	0	0	0
LOC101927843	0	0	0
LOC101927844	0	0	4
LOC101927845	0	0	6
LOC101927847	0	0	0
LOC101927849	0	0	0
LOC101927851	18	284	6
LOC101927854	240	748	0
LOC101927865	0	0	0
LOC101927869	0	0	0
LOC101927870	0	0	0
LOC101927876	0	0	2
LOC101927881	0	0	2
LOC101927884	0	0	0
LOC101927901	0	0	4
LOC101927905	0	0	0
LOC101927907	0	0	0
LOC101927911	0	0	0
LOC101927914	0	0	4
LOC101927915	0	0	0
LOC101927919	0	0	0
LOC101927924	0	0	2
LOC101927926	0	0	0
LOC101927932	0	0	0
LOC101927934	0	0	0
LOC101927948	0	0	0
LOC101927950	0	0	4
LOC101927954	0	0	8
LOC101927964	0	0	0
LOC101927967	0	0	0
LOC101927969	0	0	0
LOC101927972	0	0	0
LOC101927973	0	0	0
LOC101927987	0	0	2
LOC101928002	0	0	2
LOC101928008	0	0	0
LOC101928009	0	0	0
LOC101928012	0	0	2
LOC101928020	0	0	0
LOC101928030	0	0	0
LOC101928034	0	0	0
LOC101928035	0	0	0
LOC101928043	0	0	0
LOC101928048	0	0	0
LOC101928052	0	0	0
LOC101928053	0	0	4
LOC101928063	0	0	0
LOC101928068	0	0	0
LOC101928069	0	2	0
LOC101928075	0	0	0
LOC101928093	0	0	0
LOC101928100	0	0	0
LOC101928103	0	0	0
LOC101928105	0	0	0
LOC101928107	0	0	0
LOC101928118	0	18	2
LOC101928128	0	0	0
LOC101928131	0	0	0
LOC101928134	0	0	38
LOC101928135	0	0	2
LOC101928137	0	0	0
LOC101928140	0	0	0
LOC101928150	220	22	2
LOC101928161	0	0	0
LOC101928162	0	0	0
LOC101928163	0	0	2
LOC101928167	0	0	4
LOC101928168	0	0	0
LOC101928174	0	0	0
LOC101928191	0	0	0
LOC101928201	0	0	0
LOC101928203	0	0	0
LOC101928205	0	0	0
LOC101928211	0	0	0
LOC101928222	0	2	0
LOC101928223	0	0	0
LOC101928226	0	0	0
LOC101928227	4	0	2
LOC101928231	0	0	4
LOC101928233	0	0	0
LOC101928241	0	0	0
LOC101928253	0	0	0
LOC101928254	0	0	0
LOC101928259	0	0	0
LOC101928266	0	0	12
LOC101928269	0	0	8
LOC101928270	0	0	0
LOC101928272	0	0	2
LOC101928273	0	0	0
LOC101928279	0	0	0
LOC101928280	0	0	0
LOC101928283	0	0	6
LOC101928295	0	0	4
LOC101928298	0	0	0
LOC101928303	0	0	14
LOC101928304	0	0	0
LOC101928306	2	0	2
LOC101928307	0	0	0
LOC101928314	0	0	4
LOC101928322	0	0	0
LOC101928323	0	0	0
LOC101928324	0	0	0
LOC101928327	0	0	0
LOC101928333	0	0	0
LOC101928335	0	0	0
LOC101928336	0	0	4
LOC101928358	0	0	0
LOC101928370	84	0	0
LOC101928371	0	0	0
LOC101928372	0	0	0
LOC101928381	0	0	0
LOC101928386	2	0	0
LOC101928398	0	0	0
LOC101928401	0	0	0
LOC101928402	0	2	0
LOC101928404	0	0	0
LOC101928414	0	0	0
LOC101928416	0	0	0
LOC101928417	0	0	6
LOC101928418	0	0	0
LOC101928435	0	0	0
LOC101928436	0	0	0
LOC101928437	0	0	0
LOC101928438	20	0	0
LOC101928441	0	0	0
LOC101928443	0	0	0
LOC101928445	0	0	2
LOC101928446	0	0	2
LOC101928449	0	0	0
LOC101928453	0	0	0
LOC101928460	0	0	0
LOC101928461	0	0	2
LOC101928471	0	0	0
LOC101928476	0	0	0
LOC101928489	0	0	0
LOC101928491	0	0	0
LOC101928495	0	0	0
LOC101928505	0	0	0
LOC101928509	0	0	0
LOC101928514	0	0	6
LOC101928516	0	0	0
LOC101928517	198	0	2
LOC101928519	0	0	0
LOC101928523	0	0	0
LOC101928525	0	0	2
LOC101928530	0	0	0
LOC101928535	0	0	0
LOC101928539	0	0	20
LOC101928540	0	0	0
LOC101928551	0	0	6
LOC101928565	0	0	0
LOC101928567	0	0	0
LOC101928569	0	0	0
LOC101928580	0	0	4
LOC101928590	0	0	8
LOC101928597	0	0	0
LOC101928600	0	0	0
LOC101928605	0	0	0
LOC101928618	0	0	0
LOC101928622	0	0	0
LOC101928626	0	0	0
LOC101928650	0	0	0
LOC101928651	0	0	0
LOC101928661	0	0	0
LOC101928663	0	0	0
LOC101928673	4	0	4
LOC101928674	0	10	30
LOC101928682	2	0	94
LOC101928694	0	2	0
LOC101928696	0	0	0
LOC101928697	0	0	2
LOC101928700	84	0	0
LOC101928708	0	0	0
LOC101928710	0	0	30
LOC101928718	0	0	0
LOC101928730	0	0	0
LOC101928731	0	0	0
LOC101928737	0	0	0
LOC101928738	0	0	0
LOC101928739	0	0	0
LOC101928748	0	0	0
LOC101928751	0	0	4
LOC101928766	0	0	0
LOC101928767	0	0	0
LOC101928769	0	0	120
LOC101928775	0	0	0
LOC101928778	0	0	0
LOC101928782	0	0	0
LOC101928786	0	0	0
LOC101928790	0	0	4
LOC101928791	0	0	0
LOC101928794	0	0	0
LOC101928796	0	0	0
LOC101928797	0	0	0
LOC101928804	0	0	0
LOC101928809	0	0	2
LOC101928812	0	14	0
LOC101928823	0	0	0
LOC101928834	58	50	0
LOC101928837	0	0	0
LOC101928841	0	0	8
LOC101928844	0	0	0
LOC101928847	0	0	0
LOC101928851	0	0	4
LOC101928855	0	0	0
LOC101928858	0	0	2
LOC101928861	0	0	24
LOC101928865	0	0	0
LOC101928880	0	0	0
LOC101928882	0	0	14
LOC101928885	0	0	0
LOC101928886	0	0	0
LOC101928891	0	0	4
LOC101928894	0	0	0
LOC101928896	0	0	0
LOC101928909	0	0	0
LOC101928911	0	0	4
LOC101928936	2	0	0
LOC101928937	0	2	0
LOC101928940	0	0	4
LOC101928942	0	0	0
LOC101928943	0	0	0
LOC101928944	0	0	0
LOC101928961	0	0	0
LOC101928973	0	0	0
LOC101928977	0	0	0
LOC101928978	0	0	0
LOC101928979	0	0	0
LOC101928988	44	0	0
LOC101928989	0	0	0
LOC101928992	0	0	0
LOC101928994	0	0	0
LOC101928995	0	0	0
LOC101929019	0	0	0
LOC101929023	6	0	0
LOC101929034	0	0	0
LOC101929057	4	32	2
LOC101929058	0	0	2
LOC101929064	0	0	0
LOC101929066	0	0	6
LOC101929073	0	0	0
LOC101929076	0	0	0
LOC101929080	0	0	4
LOC101929084	0	0	0
LOC101929089	0	0	0
LOC101929095	0	0	0
LOC101929099	0	0	0
LOC101929106	0	0	2
LOC101929116	0	0	0
LOC101929122	0	0	0
LOC101929123	0	0	2
LOC101929124	0	0	0
LOC101929125	0	36	0
LOC101929128	62	52	0
LOC101929140	0	0	0
LOC101929144	0	0	0
LOC101929147	6	252	12
LOC101929148	0	0	0
LOC101929153	0	0	0
LOC101929154	0	0	0
LOC101929162	8	0	18
LOC101929164	0	0	0
LOC101929172	0	0	0
LOC101929181	0	0	2
LOC101929194	0	0	0
LOC101929199	0	0	0
LOC101929207	0	0	0
LOC101929210	0	0	0
LOC101929217	0	0	0
LOC101929224	0	0	0
LOC101929229	0	0	0
LOC101929231	0	0	0
LOC101929234	0	0	0
LOC101929237	0	0	2
LOC101929239	0	0	0
LOC101929241	0	0	0
LOC101929259	0	0	6
LOC101929260	0	0	2
LOC101929268	0	0	2
LOC101929279	0	0	4
LOC101929282	0	0	0
LOC101929284	0	0	18
LOC101929294	0	0	0
LOC101929295	0	0	2
LOC101929297	0	0	0
LOC101929312	0	0	0
LOC101929315	0	0	0
LOC101929319	0	0	2
LOC101929331	0	24	0
LOC101929337	0	0	0
LOC101929340	0	0	0
LOC101929353	0	0	0
LOC101929371	0	0	0
LOC101929372	0	0	0
LOC101929374	0	0	0
LOC101929378	2	0	2
LOC101929380	0	0	0
LOC101929384	0	0	0
LOC101929395	0	0	2
LOC101929406	0	0	0
LOC101929412	0	0	0
LOC101929413	0	0	0
LOC101929415	0	0	2
LOC101929420	0	0	0
LOC101929427	0	0	0
LOC101929431	0	0	1002
LOC101929439	0	0	4
LOC101929441	0	0	2
LOC101929448	0	0	0
LOC101929450	6	0	0
LOC101929452	0	0	0
LOC101929454	0	0	0
LOC101929464	0	0	0
LOC101929468	0	0	0
LOC101929470	0	0	0
LOC101929473	0	0	0
LOC101929486	0	0	0
LOC101929488	0	0	0
LOC101929497	0	0	0
LOC101929504	0	0	0
LOC101929505	0	0	0
LOC101929512	0	0	0
LOC101929516	0	0	0
LOC101929517	6	0	0
LOC101929524	0	0	0
LOC101929526	0	0	2
LOC101929528	0	0	0
LOC101929529	0	0	0
LOC101929532	0	0	2
LOC101929541	0	0	0
LOC101929549	0	0	0
LOC101929550	0	0	6
LOC101929551	0	0	0
LOC101929555	0	0	4
LOC101929563	0	0	12
LOC101929565	0	0	0
LOC101929567	234	0	4
LOC101929570	0	0	2
LOC101929572	0	0	0
LOC101929574	0	2	0
LOC101929577	0	0	0
LOC101929579	0	0	0
LOC101929584	0	0	0
LOC101929586	0	0	0
LOC101929592	0	0	0
LOC101929595	0	0	4
LOC101929596	0	0	0
LOC101929607	0	0	0
LOC101929608	0	4	0
LOC101929613	0	0	0
LOC101929622	0	0	4
LOC101929625	0	0	0
LOC101929626	0	0	0
LOC101929631	0	0	0
LOC101929633	0	0	2
LOC101929645	0	0	0
LOC101929646	0	0	0
LOC101929653	0	0	0
LOC101929657	0	0	0
LOC101929660	0	0	0
LOC101929662	0	0	2
LOC101929679	0	0	0
LOC101929680	0	0	0
LOC101929681	0	0	0
LOC101929694	0	0	2
LOC101929696	0	0	4
LOC101929698	0	0	0
LOC101929705	0	0	0
LOC101929709	0	0	0
LOC101929710	0	0	4
LOC101929715	0	0	0
LOC101929717	0	0	0
LOC101929718	0	32	2
LOC101929719	0	0	0
LOC101929721	0	0	0
LOC101929723	0	0	0
LOC101929733	0	0	0
LOC101929741	0	0	0
LOC101929753	0	0	2
LOC101929754	0	0	6
LOC101929762	0	0	0
LOC101929767	116	0	0
LOC101929771	0	0	6
LOC101929829	0	0	0
LOC101929897	0	0	0
LOC101929983	0	0	0
LOC101930010	0	0	0
LOC101930071	0	0	2
LOC101930452	0	0	0
LOC102031319	0	0	0
LOC102467079	0	0	0
LOC102467080	0	0	0
LOC102467081	0	0	8
LOC102467147	0	0	4
LOC102467212	0	0	2
LOC102467213	0	0	0
LOC102467214	0	0	0
LOC102467216	0	0	0
LOC102467217	0	0	0
LOC102467222	0	0	0
LOC102467223	0	0	0
LOC102467224	0	0	0
LOC102467225	0	0	2
LOC102467226	0	0	0
LOC102467655	0	0	0
LOC102477328	0	0	0
LOC102503427	0	0	0
LOC102546226	0	0	0
LOC102546228	0	0	0
LOC102546229	0	0	2
LOC102546294	0	0	2
LOC102546298	0	0	0
LOC102546299	0	0	150
LOC102577426	0	0	0
LOC102606465	22	22	0
LOC102606466	0	0	0
LOC102723330	0	0	0
LOC102723344	0	0	2
LOC102723354	0	0	0
LOC102723362	0	0	0
LOC102723373	0	0	0
LOC102723376	0	0	0
LOC102723377	0	0	2
LOC102723385	0	0	0
LOC102723427	0	0	0
LOC102723439	0	4	18
LOC102723448	0	0	0
LOC102723505	0	0	0
LOC102723517	0	0	2
LOC102723544	0	0	0
LOC102723582	16	0	0
LOC102723604	100	0	0
LOC102723617	0	0	0
LOC102723649	0	0	0
LOC102723661	0	0	0
LOC102723701	0	0	0
LOC102723703	0	0	0
LOC102723704	0	0	0
LOC102723709	0	0	0
LOC102723729	0	0	0
LOC102723766	0	0	0
LOC102723769	0	0	0
LOC102723778	0	0	2
LOC102723809	0	0	2
LOC102723824	0	0	0
LOC102723828	0	0	0
LOC102723831	0	0	0
LOC102723833	0	0	0
LOC102723854	0	0	4
LOC102723859	0	0	0
LOC102723883	0	0	0
LOC102723885	0	0	0
LOC102723895	0	0	0
LOC102723927	0	26	0
LOC102723968	0	0	2
LOC102724000	0	0	0
LOC102724009	0	0	2
LOC102724020	0	0	0
LOC102724034	0	0	0
LOC102724050	0	0	0
LOC102724053	0	0	0
LOC102724058	0	0	0
LOC102724084	0	0	0
LOC102724094	8	6	0
LOC102724096	0	0	2
LOC102724153	0	0	0
LOC102724163	0	44	0
LOC102724188	0	0	0
LOC102724190	320	52	26
LOC102724201	0	0	0
LOC102724238	0	0	0
LOC102724279	10	0	0
LOC102724297	22	46	184
LOC102724301	0	0	0
LOC102724312	0	0	2
LOC102724321	0	0	0
LOC102724323	0	0	0
LOC102724421	0	0	0
LOC102724434	0	0	2
LOC102724450	0	0	0
LOC102724467	0	0	0
LOC102724484	0	0	0
LOC102724511	0	0	0
LOC102724539	0	0	0
LOC102724552	10	8	0
LOC102724555	0	0	0
LOC102724589	8	0	0
LOC102724596	0	58	0
LOC102724601	0	12	0
LOC102724604	0	0	0
LOC102724612	0	0	6
LOC102724623	0	0	0
LOC102724651	0	0	0
LOC102724659	0	0	0
LOC102724661	0	0	0
LOC102724663	0	0	0
LOC102724691	0	0	0
LOC102724699	0	0	6
LOC102724710	0	0	4
LOC102724719	0	0	0
LOC102724776	0	0	0
LOC102724784	0	0	0
LOC102724804	0	0	0
LOC102724814	40	4	0
LOC102724849	0	0	0
LOC102724862	0	0	0
LOC102724874	0	0	2
LOC102724890	0	0	0
LOC102724913	0	0	0
LOC102724919	0	0	2
LOC102724927	0	0	2
LOC102724933	0	0	4
LOC102724957	0	0	0
LOC102724958	0	0	0
LOC102725079	0	0	6
LOC102800447	0	0	0
LOC103021295	0	0	0
LOC103021296	0	0	2
LOC103091866	8	0	0
LOC103171574	0	0	0
LOC103191607	0	0	0
LOC103312105	0	0	0
LOC103344931	0	0	2
LOC103352541	0	0	0
LOC103611081	6	0	0
LOC103908605	0	0	0
LOC104054148	0	0	0
LOC104613533	0	0	0
LOC104968399	0	0	0
LOC105274304	0	6	0
LOC105370306	0	0	0
LOC105372441	0	0	2
LOC105372795	0	0	0
LOC105373300	0	0	2
LOC105373383	10	0	0
LOC105375734	0	0	0
LOC105376360	0	0	0
LOC105376671	0	0	2
LOC105377348	2	0	2
LOC105378732	0	0	0
LOC105447645	0	0	0
LOC105447648	0	0	2
LOC105616981	0	0	0
